"Name","HouseNumberAndStreet","City","ZipCode","state","country"
"WE fe :",NA,"Boston",NA,"MA","USA"
"ty ee Boston",NA,"Boston",NA,"MA","USA"
"We Pilgrim Theater","658 Washington St.","Boston",NA,"MA","USA"
"Pe Pru Cinema","903 Boylston St.","Boston",NA,"MA","USA"
"f Station Cinema’","S*.* Station ‘ Summer","Boston",NA,"MA","USA"
"Bi.",NA,"Boston",NA,"MA","USA"
"Boston",NA,"Boston",NA,"MA","USA"
"BOSTON GAYLINE","Hompphile Union of Boston(see","Boston",NA,"MA","USA"
"***PDart IV)","bimonthly","Boston","60¢","MA","USA"
"FOCUS","Daughters of Bilitis (see Part IV)mon-S**thiy;","$5 yu.","50¢;","MA","USA"
"Cambridge",NA,"Boston",NA,"MA","USA"
"FAG RAG","c/o Red Book","536-9826","91 River St","MA","USA"
"*#**Semi-annual","25¢","special interest in po-etry","“Primarily male gay lib-eration material","MA","USA"
"Atlanta",NA,"Atlanta",NA,"MA","USA"
"Club Atlanta Baths","151 Spring Street I","Atlanta",NA,"MA","USA"
"Club South Baths","76 4th St","Atlanta","NW BDI","MA","USA"
"European Health Spa Baths","3517 Northside","Atlanta",NA,"MA","USA"
"Pkwy","Dr","Atlanta","NW I","MA","USA"
"Atlanta a",NA,"Atlanta",NA,"MA","USA"
"ARNORY","826 Juaipenceumee 074-77 -2- Mon/Fri 4","Atlanta",NA,"MA","USA"
"**#4pom-2am","3at 1l2pm-2am","Atlanta","GM a","MA","USA"
"Blue Room","86 Cain St","Atlanta","NW DI .","MA","USA"
"Cameo","188 Williams at Cain NW DI a","Atlanta",NA,"MA","USA"
"Cove","586 Worchester Drive BDI a","Atlanta",NA,"MA","USA"
"Dupre's Tavern","716 Ponce De Leon NE DI 7","Atlanta",NA,"MA","USA"
"El Matador","Piedmont at Monroe D 3","Atlanta",NA,"MA","USA"
"Esperando","49 6th St","Atlanta","i","MA","USA"
"Gene & Gabe's","1578 Piedmont Ave","Atlanta","NE DI a","MA","USA"
"Hyatt House","1630 Peachtree St","Atlanta","D 4","MA","USA"
"International House of Pancakes","1516 Pied- 4","Atlanta",NA,"MA","USA"
"mont Ave","NE D |","Atlanta",NA,"MA","USA"
"Mama Mia's","1037 Peachtree St","Atlanta","B .","MA","USA"
"Melodie Lounge","355% Peachtree St","Atlanta","NE a **4","MA","USA"
"Mrs","P's Rest.","Atlanta","551 Ponce de Leon NE Spr’ * 7a","MA","USA"
"My House","774 W","Atlanta","Peachtree St.NE + @","MA","USA"
"Onyx","339 Peachtree St","Atlanta","NE sprog","MA","USA"
"Peaches' Back Door","854 Peachtree St","Atlanta","NE pe Ss","MA","USA"
"Picadilly","1139 Peachtree St","Atlanta","ep’ *4","MA","USA"
"PRINCE GEORGE INN","114 6th St","876-9173","NE","MA","USA"
"***Mon/Fri llam-2am","Sat 6pm-2am","Ent","Food","MA","USA"
"""Gay & straight days","gay at night","Atlanta","Coat i]","MA","USA"
"& tie ","* «7","Atlanta",NA,"MA","USA"
"Sweet Gum Head","2284 Cheshirebridge R4.NE BD","Atlanta",NA,"MA","USA"
"Decatur",NA,"Atlanta",NA,"MA","USA"
"METROPOLITAN COMMUNITY CHURCH OF ATLANTA","52/7","Atlanta",NA,"MA","USA"
"***N","McDonough St","° Sun 2pm;","404-378-6736","MA","USA"
"Wed 7.30pm","Choir Practice Fri 9pm","Atlanta","""We","MA","USA"
"offer a total life of spiritual growth,so-Cial fellowship & Christian service.""",NA,"Atlanta",NA,"MA","USA"
"Atlanta",NA,"Atlanta",NA,"MA","USA"
"Daughters of Bilitis","1620 Hollywood Rd","Atlanta","NW","MA","USA"
"GLF","Box 7847","Atlanta","‘Station’ Cs 30329","MA","USA"
"Lesbianfeminist Alliance","1190 Mansfield Ave.","Atlanta",NA,"MA","USA"
"NE","404-524-3192","Atlanta",NA,"MA","USA"
"SOUTHEASTERN GAY COALITION","Box 7974","Atlanta","30309","MA","USA"
"***pues $6 yr","Pub","""Coalition of","Newsletter","MA","USA"
"Gay Liberation groups and interested indi-viduale in MG","DG","Va","Wiva","MA","USA"
"Fla","Ala","Tenn","Miss","MA","USA"
"conference","quarterly workshops","Atlanta","and other","MA","USA"
"as scheduled by caucuses.”",NA,"Atlanta",NA,"MA","USA"
"—— GEORGIA",NA,"Atlanta",NA,"MA","USA"
"| Atlanta",NA,"Atlanta",NA,"MA","USA"
"Gay Paree Cinema","90 Walton St","Atlanta","NW","MA","USA"
"Wits End","60 5th St","Atlanta","NW","MA","USA"
"GEORGIA",NA,"Atlanta",NA,"MA","USA"
"Atlanta",NA,"Atlanta",NA,"MA","USA"
"Great Speckled Bird","Box 7847","Atlanta","30309","MA","USA"
"RAINBOW","28% 13th St","Atlanta","NE","MA","USA"
"Sojourner Truth Press","81 llth St","Atlanta","NE","MA","USA"
"SOUTHEASTERN GAY COALITION Newsletter (see",NA,"Atlanta",NA,"MA","USA"
"***Part IV)","monthly","Atlanta","free to members.","MA","USA"
"DISTRICT OF COLUMBIA",NA,"DC",NA,"MA","USA"
"Cimh","Patins ","DC","20 °0-.St.) SE BDI","MA","USA"
"Regency","Ratings","Sti","41.3) Bi","MA","USA"
"EE DISTRICT OF COLUMBIA",NA,"DC",NA,"MA","USA"
"a parn","(upstairs)","DC","305 9th NW B","MA","USA"
"P Pareoii's Tavern","510 9th","DC","St.Nw BDI","MA","USA"
"a Club Applause","1214 Conn Ave","DC","NW B","MA","USA"
" -pollie's","1215 New York Ave.NW a BDL","DC",NA,"MA","USA"
"-—s«BAGLE","904 9th St.NW 347-6025","7pm-a *#** 3am","Mon/Fri","MA","USA"
"e.","bar","DC","Leather & Western attire preferred.”","MA","USA"
"ee 1832 Restaurant","1832 Columbia Rd.NW","B/R","483-_ — ##*0814","MA","USA"
"Five Reasons","1720 H St.NW B","DC",NA,"MA","USA"
"«Georgetown Grill","1329 Wisconsin Ave.NW BDI","DC",NA,"MA","USA"
"_ -Hideaway/Lou's Hideaway","Barfly gives 821 :","DC",NA,"MA","USA"
"_ —-s Market Space NW","Damron gives 9th & Penn;","DC",NA,"MA","USA"
"_-—-s«Insider gives 821 Pennsylvania NW.",NA,"DC",NA,"MA","USA"
"_ Joanna's","8th & E Sts","DC","SE 5","MA","USA"
"_ Johnnie's","8th & E Sts","DC","NE B","MA","USA"
"_ Life Raft","639 Pennsylvania Ave","DC","SE BDI","MA","USA"
"_ Lost & Found","56 L St","DC","3 BDI","MA","USA"
"_ Louie's Spartan Lounge","305 9th NW BDI","DC",NA,"MA","USA"
"_ Mr","Henry's","NW and","1225 Wisconsin Ave","MA","USA"
"601 Pennsylvania Ave","SE Bpt","DC",NA,"MA","USA"
"‘Naples Cafe","1227 New York Ave.NW BDI","DC",NA,"MA","USA"
"Paramount Steak House","1519 17th St","DC","NW and","MA","USA"
"a8 422"" Wisconsin Ave","NW D","DC",NA,"MA","USA"
"Phase III","525 8th St.NE BD","DC",NA,"MA","USA"
"Pier Nine Rest.","1824 Half St.SW BDI","DC",NA,"MA","USA"
"Plus One","529 8th St SE _ BDI","DC",NA,"MA","USA"
"Statler Hilton Hotel Bar","16th & K St.NW DI","DC",NA,"MA","USA"
"THIRD WORLD DEN","221 Riggs Rd .NEB 529-9602","DC",NA,"MA","USA"
"***#Restaurant 6-10","Bar 10-2","DC","Min $1.Dncg.GPM","MA","USA"
"""This is the only Black-owned gay bar in",NA,"DC",NA,"MA","USA"
"D.C","Plenty of parking","DC","Located in quiet","MA","USA"
"Bese to rough trade desired.""",NA,"DC",NA,"MA","USA"
"rigs House ‘Rest","‘& Lounge","DC","(506 8th St.SE D","MA","USA"
"sR Se ens aan rl",NA,"DC",NA,"MA","USA"
"DISTRICT OF COLUMBIA",NA,"DC",NA,"MA","USA"
"Chapel of St","Francis & St","1620 N","John","MA","USA"
"NW",NA,"DC",NA,"MA","USA"
"METROPOLITAN COMMUNITY CHURCH OF WASHINGTON,",NA,"DC",NA,"MA","USA"
"***705 7th St","SE.- 202-547-2773","&","Sun 3pm","MA","USA"
"other programs as posted","Pub","""We will ‘soon be","Metropolit-an with Gay Christian","MA","USA"
"involved in a special program for blind,",NA,"DC",NA,"MA","USA"
"deaf and other handicapped Gays","We are","DC",NA,"MA","USA"
"forming couples club) youth program.""",NA,"DC",NA,"MA","USA"
"Georgetown",NA,"DC",NA,"MA","USA"
"THE PEOPLE'S’ PARTY","1005' Jilst","NW 202-***338-1900","St","MA","USA"
"People's Party","Peace & Freedom Party","DC","New","MA","USA"
"Party","D.C","Human Rights","Statehood Party","MA","USA"
"Party","Gay caucus","DC","strong Gay Lib plat€m.","MA","USA"
"National Secretary & many local officers",NA,"DC",NA,"MA","USA"
"are gay.""",NA,"DC",NA,"MA","USA"
"Washington",NA,"DC",NA,"MA","USA"
"GAA","Box 2554","DC","20013 202-462-8729","MA","USA"
"Gay People's Alliance","427 Marvin Ctr.","DC","800","MA","USA"
"21st St","NW","DC","202-678-7378","MA","USA"
"GAY SWITCHBOARD","1724 20th St","10am-mdnt","NW 202-387-***£3777","MA","USA"
"aid","counseling","DC","gay events listing.”","MA","USA"
"Gay Teachers Caucus","Nat","Assn.","Ed","MA","USA"
"Acanfora","1915 Kolorama Rd","234-6048","NW","MA","USA"
"MATTACHINE SOCIETY OF WASHINGTON","Box 1032;","DC",NA,"MA","USA"
"**#*20013","202-363-3881","information","“We are a long-esta-blished civil liberties","MA","USA"
"supply public speakers","Special areas of","DC",NA,"MA","USA"
"expertise","Federal Govt","security","vs Gays","MA","USA"
"clearances","Civil Service employment","DC","the","MA","USA"
"Armed Services.”",NA,"DC",NA,"MA","USA"
"National Gay Student Center","2115 S_ St","DC","NW","MA","USA"
"202-387-5100",NA,"DC",NA,"MA","USA"
"People’s Party Gay Caucus","1404 M St","DC","NW","MA","USA"
"Skyline Faggots Collective","1614 So Se","DC","NW","MA","USA"
"Washington Feminists","c/o Rita Mae Brown","DC","217","MA","USA"
"Tid eeh 64","SE","DC",NA,"MA","USA"
"DISTRICT OF COLUMBIA",NA,"DC",NA,"MA","USA"
"EARTHWORKS","1724 20th St","Mon/","NW 387-6688","MA","USA"
"***Fyri lOam-8pm","Sat till 6am","DC","""Gay Liberat=-ion literature."" (see also HEAD SHOPS)","MA","USA"
"Garden of Eden Books,1l1l12 H","St","DC","NW","MA","USA"
"Mark 7 Books","22227 St","DC","oNW","MA","USA"
"R & M Book Shop","1812 Adams Mill Rd.","DC",NA,"MA","USA"
"Village Books","928 14th St.","DC",NA,"MA","USA"
"Village Books","819 13th St.","DC",NA,"MA","USA"
"DISTRICT OF COLUMBIA",NA,"DC",NA,"MA","USA"
"EARTH WORKS","1724 20th St","Mon/","NW 387-6688","MA","USA"
"ee#*Ey ji LOam-Spm","Sat till 6am","gay buttons & jewelry.Com-plete line of pipes","""Gay Liberat-ion literature","MA","USA"
"METROPOLE CINEMA CLUB","411 L","DC","St.NW 737-38","MA","USA"
"*#*12-12","""Gay men","DC","New picture every Wed.","MA","USA"
"DISTRICT OF COLUMBIA",NA,"DC",NA,"MA","USA"
"Georgetown",NA,"DC",NA,"MA","USA"
"GRASSROOTS","The People's Party(see Part IV),","DC",NA,"MA","USA"
"‘YY monthly","$5 yr.) Sample ;airec..","DC",NA,"MA","USA"
"Washington",NA,"DC",NA,"MA","USA"
"Forum","Guild Press","SE","507 8th St","MA","USA"
"The Furies","Box 8843","DC","20003","MA","USA"
"International Guild Guide","Box 385","DC","20044","MA","USA"
"METROPOLITAN with GAY CHRISTIAN","Metropolitan","DC",NA,"MA","USA"
"**#*Community Church (see Part III)","bimonthly","DC",NA,"MA","USA"
"25¢",NA,"DC",NA,"MA","USA"
"Denver",NA,"Denver",NA,"MA","USA"
"Club Baths of Denver","1359 Court Place BI","Denver",NA,"MA","USA"
"Snow Palace","1359 Court Place B","Denver",NA,"MA","USA"
"Zuni Baths","2935 Zuni BIL","Denver",NA,"MA","USA"
"Denver |",NA,"Denver",NA,"MA","USA"
"Alley Oops","1540 Welton B","Denver",NA,"MA","USA"
"Apartment","20th & Lincoln B :","Denver",NA,"MA","USA"
"Court Jester Lounge","1617 Court Place BDI ,","Denver",NA,"MA","USA"
"Denny's","16th & Federal D","Denver",NA,"MA","USA"
"Don's Alley","1540 Welton B","Denver",NA,"MA","USA"
"Hedda's","1541 Welton B","Denver",NA,"MA","USA"
"Highland","2532 15th B","Denver",NA,"MA","USA"
"My Place Lounge","1540 Welton I","Denver",NA,"MA","USA"
"Other Door Lounge","1512 Broadway Ave","Denver","BDI","MA","USA"
"OouR-Den","5110 W","Denver","Colfax BDI","MA","USA"
"Pine Junction Cafe","W","Denver","Hwy 285 B","MA","USA"
"Pirate's Den","1705 Federal Blvd","Denver","BDI","MA","USA"
"Purple Onion","616 19th B","Denver",NA,"MA","USA"
"Rocky Mountain — BDI",NA,"Denver",NA,"MA","USA"
"Side By Side Club","1942 Broadway BDI","Denver",NA,"MA","USA"
"Triangle Lounge","2470 Broadway BD","Denver",NA,"MA","USA"
"Turk's","43rd & Fox D","Denver",NA,"MA","USA"
"White Spot","Colfax & Pear] D","Denver",NA,"MA","USA"
"Zacharie's","1805 Broadway B","Denver",NA,"MA","USA"
"Zuni",".2935 «Zuni :","Denver",NA,"MA","USA"
"' Denver",NA,"Denver",NA,"MA","USA"
"Catholic Life Church","c/o Mark Harding","Denver","2257","MA","USA"
"W","32nd Ave","Denver","ras","MA","USA"
"Church of the Holy Sepulchre","Box 18554;80218","Denver",NA,"MA","USA"
"HOMOSEXUAL CHURCH OF THE UNIVERSE","1331 Down-Seeing St.) Apts 1023) 303-5 73-1000","3pm-4pm","Sun","MA","USA"
"non-faiths","it demands complete acceptance","Denver",NA,"MA","USA"
"of the homosexual feeling","disregarding","Denver",NA,"MA","USA"
"age","race","creed.""","sex","MA","USA"
"Metropolitan Community Church","1400 Lafayette","Denver",NA,"MA","USA"
"St","303-244-1110","Denver",NA,"MA","USA"
"Denver",NA,"Denver",NA,"MA","USA"
"Daughters of Bilitis","Box 9057","Denver Sta","S","MA","USA"
"80209 (2?",NA,"Denver",NA,"MA","USA"
"Gay Women in Denver","1063 Downing St","Denver","Gz","MA","USA"
"Rocky Mountain Gay Activist Inst.","Box 18641;","Denver",NA,"MA","USA"
"80206 303-825-5925",NA,"Denver",NA,"MA","USA"
"Denver",NA,"Denver",NA,"MA","USA"
"Ace Books and Arcade","920 18th St.","Denver",NA,"MA","USA"
"Bachelor's Library","826 15th St.","Denver",NA,"MA","USA"
"La Parisienne","733 E","Denver","Colfax Ave.","MA","USA"
"Sun Dial Distributors","250 Yuma St.","Denver",NA,"MA","USA"
"COLORADO |",NA,"Denver",NA,"MA","USA"
"Denver",NA,"Denver",NA,"MA","USA"
"Baron","2054 Broadway","Denver",NA,"MA","USA"
"Hayloft","11 S","Denver","Broadway","MA","USA"
"COLORADO",NA,"Denver",NA,"MA","USA"
"Denver",NA,"Denver",NA,"MA","USA"
"FAR OUT DOGS","c/o Gayellowpages","N.Y","Box 292","MA","USA"
"***10014","If over 21","Denver","send $1 for brochure to","MA","USA"
"find out about these amazing pets (refund-able with purchase)","We will forward re-quests unopened","Denver","and accept no further re-sponsibility!","MA","USA"
"Houston",NA,"Houston",NA,"MA","USA"
"Mr","Frizby Baths","BDI","3401 Milam St","MA","USA"
"Woodrow Hotel","1412 Fannin St","Houston","DI","MA","USA"
"Ilouston",NA,"Houston",NA,"MA","USA"
"Athens","8037 Clinton Dr","Houston","D","MA","USA"
"Bama Ballroom","2020 Kipling B","Houston",NA,"MA","USA"
"Brazos Bar","2400 Brazos D","Houston",NA,"MA","USA"
"Briar Patch","Greenbriar at McClendon I","Houston",NA,"MA","USA"
"Cabaret Theater Club","218 Main B","Houston",NA,"MA","USA"
"Club 11-13","3406 Mornigside B","Houston",NA,"MA","USA"
"Cobra Club","905 Woodrow | BDI","Houston",NA,"MA","USA"
"Entree","1322 Westheimer BI","Houston",NA,"MA","USA"
"Excadlhe/ 40s)","Bie ld -Sit.","Houston","BDI","MA","USA"
"Farm","3535 Westheimer BDI","Houston",NA,"MA","USA"
"Galleon","2720 Richmond Ave","Houston","BDI","MA","USA"
"Gay Boy","2151 Richmond B","Houston",NA,"MA","USA"
"Glass Stein","3207 Montrose Ave","Houston","BI","MA","USA"
"Gold Room","2802 Austin St","Houston","BDI","MA","USA"
"Hi Kamp Klub","3400 Travis St","Houston","BDI","MA","USA"
"La Boheme","1504 Westheimer BDI","Houston",NA,"MA","USA"
"La Ca dia ","1104 Tuam St","Houston","BDI","MA","USA"
"La Carafe","813 Congress D","Houston",NA,"MA","USA"
"Lena's Lounge","300 Tuam D","Houston",NA,"MA","USA"
"Les Quatre Saisons","316 Milam D","Houston",NA,"MA","USA"
"Mary's","1022 Westheimer St","Houston","BDI","MA","USA"
"Midtown Lounge","2369 Main D","Houston",NA,"MA","USA"
"or Mid Towne","2923 Main B","Houston",NA,"MA","USA"
"New Image","1904 S","Houston","Shepherd D","MA","USA"
"Nine Hundred","900 Lovett Alley BDI","Houston",NA,"MA","USA"
"Numbers","1005 California St","Houston","BD","MA","USA"
"Palace","3400 Montrose BDI","Houston",NA,"MA","USA"
"Pink Elephant","1218 Leland BDI","Houston",NA,"MA","USA"
"Red Room","612 Hadley BDI","Houston",NA,"MA","USA"
"Roaring Sixties","2305 S","Houston","Shepherd BDI","MA","USA"
"Roundtable","507 Westheimer BDI","Houston",NA,"MA","USA"
"San Angel Rest.","1534 Westheimer = I","Houston",NA,"MA","USA"
"St","Michel Rest.","I","2150 Richmond Ave","MA","USA"
"Scene 1","1904 S","Houston","Shepherd B","MA","USA"
"Silver Dollar Rest.","616 Westheimer DI","Houston",NA,"MA","USA"
"TEXAS","(eont.)","Houston",NA,"MA","USA"
"Simpson's Diner","1413,Main","Houston",NA,"MA","USA"
"Surf Lounge","2909 Main","Houston",NA,"MA","USA"
"Yradewinds Lounge","706 Elgin :","Houston",NA,"MA","USA"
"Houston és",NA,"Houston",NA,"MA","USA"
"Gay Liberation","U","Box 65","of Houston","MA","USA"
"Center","77004 a","Houston",NA,"MA","USA"
"Gay Political Committee","Box 53221","Houston","77052 cau","MA","USA"
"Gay Women's Liberation","c/o Space City","Houston","1217 ©","MA","USA"
"Wichita (2 s",NA,"Houston",NA,"MA","USA"
"Integrity","c/o Fr","3600 Travis 3","Mark Barron","MA","USA"
"Montrose Gaze","Community Center","Houston","504 Fairview |","MA","USA"
"Houston",NA,"Houston",NA,"MA","USA"
"Rosalie's Newsstand","1401 Texas Ave.","Houston",NA,"MA","USA"
"Story Book","1312 W","Houston","Alabama St.","MA","USA"
"Saad AiG ay ns apes De","Be","Houston",NA,"MA","USA"
"ee eS he:",NA,"Houston",NA,"MA","USA"
"gaa 4 aS ay eee ae ","PE a Re","Houston",NA,"MA","USA"
"ee ead SE KNG ONS | Waril:",NA,"Houston",NA,"MA","USA"
"% ae ae ae i ","i 1 :","Houston",NA,"MA","USA"
"oe Pam eee Meera By","gee 4 ","Houston","4","MA","USA"
"eae gS ay fe Poaceae 5 we oe Wee te",NA,"Houston",NA,"MA","USA"
"shee 49 pe ¢ lousron’",NA,"Houston",NA,"MA","USA"
"pid ERE Ps DP RAS","ME ed! Solem ER A ;","Houston",NA,"MA","USA"
"‘\ oy ee 7 Inc","T","Houston",NA,"MA","USA"
"SC ee ","Town & Count ,","Houston",NA,"MA","USA"
"3 Sea eee ie Seg cy i n",NA,"Houston",NA,"MA","USA"
"Se Ah Ar ani ® ry Vil l 7",NA,"Houston",NA,"MA","USA"
"Ney ES ig age",NA,"Houston",NA,"MA","USA"
"llouston",NA,"Houston",NA,"MA","USA"
"Min VaPark ear heatne.","(2907) Main St.","Houston",NA,"MA","USA"
"a",NA,"Houston",NA,"MA","USA"
"Houston",NA,"Houston",NA,"MA","USA"
"Nuntius","4615 Mt","Houston","vernon St.","MA","USA"
"Seattle",NA,"Seattle",NA,"MA","USA"
"","——$_—_———","Seattle",NA,"MA","USA"
"Atlas Baths","1318 2nd Ave","Seattle","BDI","MA","USA"
"Dave's Steam Baths","2402 lst Ave","Seattle","' BDI","MA","USA"
"_ Seattle” ™",NA,"Seattle",NA,"MA","USA"
"Blue Moon Tavern","712 NE 45th St","Seattle","Di Be","MA","USA"
"Bonnie's Place","201 S","Seattle","Washington B 4","MA","USA"
"Chicken Coop","411 2nd B a","Seattle",NA,"MA","USA"
"Clark's Around the Clock","1001 Olive Way D a","Seattle",NA,"MA","USA"
"Columbus Tavern","167 S","BI 4","Washington St","MA","USA"
"Doll House Tavern","119 Yesler Way BDI 3","Seattle",NA,"MA","USA"
"Don's Place","610 2nd B a","Seattle",NA,"MA","USA"
"Doubleheader Tavern","407 2nd Ave","Seattle","BDI 7","MA","USA"
"Eleven-Eleven Tavern","1111 Pike St","BDI 4","E","MA","USA"
"Gatsby's","524 2nd","Seattle","B é","MA","USA"
"Golden Horseshoe","207 2nd Ave","BDI 4","S","MA","USA"
"GREEK TORCH","Third & Yesler Way MA2-1181 4","Seattle",NA,"MA","USA"
"***1]2pm-2am","Food","ent","dncg","MA","USA"
"Grubstake Cafe","608% 2nd B 4","Seattle",NA,"MA","USA"
"Mike's Pike Street Tavern","824 Pike BDI s","Seattle",NA,"MA","USA"
"Mocamba Rest","& Lounge","Seattle","203 Yesler Way BDI a","MA","USA"
"MOTHER MORGAN'S GUMBO FACTORY & LIVE-IN RESY-***AURANT","431 15th Ave","(on Capitol Hill) a","E","MA","USA"
"EA5-2400","Mon/Fri lunch 11.30-2.30","Seattle","Mona","MA","USA"
"Sat dinner 5.00-9.00","""We are a vegetarian","Seattle",NA,"MA","USA"
"restaurant serving all home-cooked foods","a","Seattle",NA,"MA","USA"
"we specialize in East Indian and down-home 4",NA,"Seattle",NA,"MA","USA"
"cookery","Our restaurant is a melting pot 4","Seattle",NA,"MA","USA"
"of young","old","male","black white","MA","USA"
"gay","straight","businessmen."" 3","hippie","MA","USA"
"922 Ciubs.","922) hind Ave","Seattle","BDI","MA","USA"
"107 Club","107 Occidental Ave","BDI @","S","MA","USA"
"Regents Roost","1404 7th Buea","Seattle",NA,"MA","USA"
"Silver Slipper","210 S","Boma","Jackson St","MA","USA"
"611 Club","611 2nd Ave","Seattle","BDI","MA","USA"
"614 Club","614 lst Ave","Seattle","BDI* ""a","MA","USA"
"SPAG'S TAVERN","924 Pine St","Seattle","MA3-9612","MA","USA"
"***GPM a",NA,"Seattle",NA,"MA","USA"
"Terrace Room","Olympic Hotel","Seattle","4th & Seneca Digg","MA","USA"
"Thirteen Coins Rest.","125 Boren St","D","N","MA","USA"
"Trojan Shield","111-117 s","Seattle","Occidental Be","MA","USA"
"VICTROLA TAVERN","91 Lower Pike MA4-9314","Seattle",NA,"MA","USA"
"*“**8am-2am","G&S (Victrola's answer to request 4","Seattle",NA,"MA","USA"
"for further information about activities = —",NA,"Seattle",NA,"MA","USA"
"""Not for publication!"") a",NA,"Seattle",NA,"MA","USA"
"Wayne's Deli","217 James » 4","Seattle",NA,"MA","USA"
"Zack's Key","2620 3rd Ave","Seattle","BD","MA","USA"
"Seattle",NA,"Seattle",NA,"MA","USA"
"METROPOLITAN COMMUNITY CHURCH","16th & E.John -*#*eeS3t 206-EA5-1872","Wed","Sun 2.30 & 7.30pm","MA","USA"
"Ys3s Oy pm:",NA,"Seattle",NA,"MA","USA"
