"Name","HouseNumberAndStreet","City","ZipCode","state","country"
"METROPOLE CINEMA CLUB","411 L","DC","St.NW 737-38","MA","USA"
"*#*12-12","""Gay men","DC","New picture every Wed.","MA","USA"
"DISTRICT OF COLUMBIA",NA,"DC",NA,"MA","USA"
"Georgetown",NA,"DC",NA,"MA","USA"
"GRASSROOTS","The People's Party(see Part IV),","DC",NA,"MA","USA"
"‘YY monthly","$5 yr.) Sample ;airec..","DC",NA,"MA","USA"
"Washington",NA,"DC",NA,"MA","USA"
"Forum","Guild Press","SE","507 8th St","MA","USA"
"The Furies","Box 8843","DC","20003","MA","USA"
"International Guild Guide","Box 385","DC","20044","MA","USA"
"METROPOLITAN with GAY CHRISTIAN","Metropolitan","DC",NA,"MA","USA"
"**#*Community Church (see Part III)","bimonthly","DC",NA,"MA","USA"
"25¢",NA,"DC",NA,"MA","USA"
