Name,HouseNumberAndStreet,City,ZipCode,state,country
,Box 7847,Atlanta,30309,GA,USA
RAINBOW,284 13th St,Atlanta,,GA,USA
Sojourner Truth Press,81 11th St,Atlanta,,GA,USA
,NA,Atlanta,,GA,USA
,monthly,Atlanta,,GA,USA
,NA,DC,,DC,USA
Club Baths,20 O St. SE,DC,,DC,USA
Regency Baths,413 L St. NW,DC,,DC,USA
,NA,DC,,DC,USA
Barn,305 9th NW,DC,,DC,USA
Carroll’s Tavern,510 9th St NW,DC,,DC,USA
a Club Applause,1214 Conn Ave,DC,,DC,USA
Dollie's,1215 New York Ave NW,DC,,DC,USA
EAGLE,904 9th St NW,DC,,DC,USA
,bar,DC,,DC,USA
ee 1832 Restaurant,1832 Columbia Rd. NW,DC,,DC,USA
Five Reasons,1720 H St. NW,DC,,DC,USA
«Georgetown Grill,1329 Wisconsin Ave NW,DC,,DC,USA
_ -Hideaway/Lou's Hideaway,821 Pennsylvania NW.,DC,,DC,USA
,Damron gives 9th & Penn;,DC,,DC,USA
,NA,DC,,DC,USA
_ Joanna's,8th & E Sts,DC,,DC,USA
,8th & E Sts,DC,,DC,USA
_ Life Raft,639 Pennsylvania Ave,DC,,DC,USA
_ Lost & Found,56 L St,DC,,DC,USA
_ Louie's Spartan Lounge,305 9th NW,DC,,DC,USA
_ Mr Henry’s,1225 Wisconsin Ave NW,DC,,DC,USA
Mr Henry’s 2,601 Pennsylvania Ave SE,DC,,DC,USA
‘Naples Cafe,1227 New York Ave NW,DC,,DC,USA
Paramount Steak House,1519 17th St,DC,,DC,USA
Paramount Steak House 2,1227 Wisconsin Ave NW,DC,,DC,USA
Phase III,525 8th St. NE,DC,,DC,USA
Pier Nine Rest.,1824 Half St. SW,DC,,DC,USA
Plus One,529 8th St SE,DC,,DC,USA
Statler Hilton Hotel Bar,16th & K St. NW,DC,,DC,USA
THIRD WORLD DEN,221 Riggs Rd. NE,DC,,DC,USA
,Bar 10-2,DC,,DC,USA
,NA,DC,,DC,USA
,Plenty of parking,DC,,DC,USA
,NA,DC,,DC,USA
Town House Rest,506 8th St. SE,DC,,DC,USA
,NA,DC,,DC,USA
DISTRICT OF COLUMBIA,NA,DC,,DC,USA
Chapel of St Francis & St John,1620 N St. NW,DC,,DC,USA
,NA,DC,,DC,USA
"METROPOLITAN COMMUNITY CHURCH OF WASHINGTON,",705 7th St SE,DC,,DC,USA
,SE.- 202-547-2773,DC,,DC,USA
,Pub,DC,,DC,USA
,NA,DC,,DC,USA
,We are,DC,,DC,USA
,NA,DC,,DC,USA
,NA,DC,,DC,USA
THE PEOPLE'S’ PARTY,1005 31st St. NW,DC,,DC,USA
,Peace & Freedom Party,DC,,DC,USA
,D.C,DC,,DC,USA
,Gay caucus,DC,,DC,USA
,NA,DC,,DC,USA
,NA,DC,,DC,USA
,NA,DC,,DC,USA
,Box 2554,DC,20013 202-462-8729,DC,USA
Gay People's Alliance,800 21st St,DC,,DC,USA
,NW,DC,,DC,USA
GAY SWITCHBOARD,1724 20th St,DC,,DC,USA
,counseling,DC,,DC,USA
Gay Teachers Caucus,1915 Kolorama Rd,DC,,DC,USA
,,DC,,DC,USA
,Box 1032;,DC,,DC,USA
,202-363-3881,DC,,DC,USA
,Special areas of,DC,,DC,USA
,Federal Govt,DC,,DC,USA
,Civil Service employment,DC,,DC,USA
,NA,DC,,DC,USA
National Gay Student Center,2115 S St NW,DC,,DC,USA
,NA,DC,,DC,USA
People’s Party Gay Caucus,1404 M St,DC,,DC,USA
Skyline Faggots Collective,1614 S St NW,DC,,DC,USA
Washington Feminists,217 12th St. SE,DC,,DC,USA
,SE,DC,,DC,USA
,NA,DC,,DC,USA
EARTHWORKS,1724 20th St,DC,,DC,USA
,Sat till 6am,DC,,DC,USA
"Garden of Eden Books,1l1l12 H",11112 H. St. NW,DC,,DC,USA
Mark I Books,1222 H. St. NW,DC,,DC,USA
R & M Book Shop,1812 Adams Mill Rd.,DC,,DC,USA
Village Books,928 14th St.,DC,,DC,USA
Village Books 2,819 13th St.,DC,,DC,USA
,NA,DC,,DC,USA
,1724 20th St,DC,,DC,USA
,Sat till 6am,DC,,DC,USA
METROPOLE CINEMA CLUB,411 L St. NW,DC,,DC,USA
,"""Gay men",DC,,DC,USA
,NA,DC,,DC,USA
,NA,DC,,DC,USA
,"The People's Party(see Part IV),",DC,,DC,USA
,$5 yr.) Sample ;airec..,DC,,DC,USA
,NA,DC,,DC,USA
Forum,507 8th St SE,DC,,DC,USA
,Box 8843,DC,20003,DC,USA
,Box 385,DC,20044,DC,USA
,Metropolitan,DC,,DC,USA
,bimonthly,DC,,DC,USA
,NA,DC,,DC,USA
,NA,Denver,,CO,USA
Club Baths of Denver,1359 Court Place,Denver,,CO,USA
Snow Palace,1359 Court Place,Denver,,CO,USA
Zuni Baths,2935 Zuni,Denver,,CO,USA
,NA,Denver,,CO,USA
Alley Oops,1540 Welton,Denver,,CO,USA
Apartment,20th & Lincoln,Denver,,CO,USA
Court Jester Lounge,1617 Court Place,Denver,,CO,USA
Denny's,16th & Federal,Denver,,CO,USA
Don's Alley,1540 Welton,Denver,,CO,USA
Hedda's,1541 Welton,Denver,,CO,USA
Highland,2532 15th,Denver,,CO,USA
My Place Lounge,1540 Welton,Denver,,CO,USA
Other Door Lounge,1512 Broadway Ave,Denver,,CO,USA
OouR-Den,5110 W Colfax,Denver,,CO,USA
Pine Junction Cafe,W. Hwy 285,Denver,,CO,USA
Pirate's Den,1705 Federal Blvd,Denver,,CO,USA
Purple Onion,616 19th,Denver,,CO,USA
,NA,Denver,,CO,USA
Side By Side Club,1942 Broadway,Denver,,CO,USA
Triangle Lounge,2470 Broadway,Denver,,CO,USA
Turk's,43rd & Fox,Denver,,CO,USA
White Spot,Colfax & Pearl,Denver,,CO,USA
Zacharie's,1805 Broadway,Denver,,CO,USA
Zuni,2935 Zuni,Denver,,CO,USA
,NA,Denver,,CO,USA
Catholic Life Church,2257 W 32nd Ave,Denver,,CO,USA
,32nd Ave,Denver,,CO,USA
,Box 18554;80218,Denver,,CO,USA
HOMOSEXUAL CHURCH OF THE UNIVERSE,1331 Downing St,3pm-4pm,,CO,USA
,it demands complete acceptance,Denver,,CO,USA
,disregarding,Denver,,CO,USA
,race,"creed.""",,CO,USA
Metropolitan Community Church,1400 Lafayette St,Denver,,CO,USA
,303-244-1110,Denver,,CO,USA
,NA,Denver,,CO,USA
,Box 9057,Denver,,CO,USA
,NA,Denver,,CO,USA
Gay Women in Denver,1063 Downing St,Denver,,CO,USA
,Box 18641;,Denver,,CO,USA
,NA,Denver,,CO,USA
,NA,Denver,,CO,USA
Ace Books and Arcade,920 18th St.,Denver,,CO,USA
Bachelor's Library,826 15th St.,Denver,,CO,USA
La Parisienne,733 E Colfax Ave.,Denver,,CO,USA
,250 Yuma St.,Denver,,CO,USA
,NA,Denver,,CO,USA
,NA,Denver,,CO,USA
Baron,2054 Broadway,Denver,,CO,USA
Hayloft,11 S. Broadway,Denver,,CO,USA
,NA,Denver,,CO,USA
,NA,Denver,,CO,USA
,c/o Gayellowpages,Denver,,CO,USA
,If over 21,Denver,,CO,USA
,We will forward re-quests unopened,Denver,,CO,USA
,NA,Houston,,TX,USA
Mr Frizby Baths,3401 Milam St,Houston,,TX,USA
Woodrow Hotel,1412 Fannin St,Houston,,TX,USA
,NA,Houston,,TX,USA
Athens,8037 Clinton Dr,Houston,,TX,USA
Bama Ballroom,2020 Kipling,Houston,,TX,USA
Brazos Bar,2400 Brazos,Houston,,TX,USA
Briar Patch,Greenbriar at McClendon ,Houston,,TX,USA
Cabaret Theater Club,218 Main,Houston,,TX,USA
Club 11-13,3406 Mornigside,Houston,,TX,USA
Cobra Club,905 Woodrow,Houston,,TX,USA
Entree,1322 Westheimer,Houston,,TX,USA
Exile,1011 Bell St.,Houston,,TX,USA
Farm,3535 Westheimer,Houston,,TX,USA
Galleon,2720 Richmond Ave,Houston,,TX,USA
Gay Boy,2151 Richmond B,Houston,,TX,USA
Glass Stein,3207 Montrose Ave,Houston,,TX,USA
Gold Room,2802 Austin St,Houston,,TX,USA
Hi Kamp Klub,3400 Travis St,Houston,,TX,USA
La Boheme,1504 Westheimer,Houston,,TX,USA
La Ca dia ,1104 Tuam St,Houston,,TX,USA
La Carafe,813 Congress,Houston,,TX,USA
Lena's Lounge,300 Tuam,Houston,,TX,USA
Les Quatre Saisons,316 Milam,Houston,,TX,USA
Mary's,1022 Westheimer St,Houston,,TX,USA
Midtown Lounge,2369 Main,Houston,,TX,USA
Mid Towne,2923 Main,Houston,,TX,USA
New Image,1904 S Shepherd,Houston,,TX,USA
Nine Hundred,900 Lovett Alley,Houston,,TX,USA
Numbers,1005 California St,Houston,,TX,USA
Palace,3400 Montrose,Houston,,TX,USA
Pink Elephant,1218 Leland,Houston,,TX,USA
Red Room,612 Hadley,Houston,,TX,USA
Roaring Sixties,2305 S Shepherd,Houston,,TX,USA
Roundtable,507 Westheimer,Houston,,TX,USA
San Angel Rest.,1534 Westheimer St,Houston,,TX,USA
St Michel Rest.,2150 Richmond Ave,Houston,,TX,USA
Scene 1,1904 S Shepherd,Houston,,TX,USA
Silver Dollar Rest.,616 Westheimer,Houston,,TX,USA
,(eont.),Houston,,TX,USA
Simpson's Diner,1413 Main,Houston,,TX,USA
Surf Lounge,2909 Main,Houston,,TX,USA
Yradewinds Lounge,706 Elgin,Houston,,TX,USA
,NA,Houston,,TX,USA
,U,Houston,,TX,USA
,77004 a,Houston,,TX,USA
,Box 53221,Houston,77052 cau,TX,USA
Gay Women's Liberation,1217 Wichita,Houston,,TX,USA
,NA,Houston,,TX,USA
Integrity,3600 Travis,,,TX,USA
Montrose Gaze,504 Fairview,Houston,,TX,USA
,NA,Houston,,TX,USA
Rosalie's Newsstand,1401 Texas Ave.,Houston,,TX,USA
Story Book,1312 W Alabama St.,Houston,,TX,USA
,Be,Houston,,TX,USA
,NA,Houston,,TX,USA
,PE a Re,Houston,,TX,USA
,NA,Houston,,TX,USA
,i 1 :,Houston,,TX,USA
,gee 4,Houston,,TX,USA
,NA,Houston,,TX,USA
,NA,Houston,,TX,USA
,ME ed! Solem ER A ;,Houston,,TX,USA
,T,Houston,,TX,USA
,"Town & Count ,",Houston,,TX,USA
,NA,Houston,,TX,USA
,NA,Houston,,TX,USA
,NA,Houston,,TX,USA
,NA,Houston,,TX,USA
Min VaPark ear heatne.,2907 Main St.,Houston,,TX,USA
,NA,Houston,,TX,USA
,NA,Houston,,TX,USA
Nuntius,4615 Mt vernon St.,Houston,,TX,USA
,NA,Seattle,,WA,USA
,——$_—_———,Seattle,,WA,USA
Atlas Baths,1318 2nd Ave,Seattle,,WA,USA
Dave's Steam Baths,2402 1st Ave,Seattle,,WA,USA
,NA,Seattle,,WA,USA
Blue Moon Tavern,712 NE 45th St,Seattle,,WA,USA
Bonnie's Place,201 S Washington,Seattle,,WA,USA
Chicken Coop,411 2nd,Seattle,,WA,USA
Clark's Around the Clock,1001 Olive Way,Seattle,,WA,USA
Columbus Tavern,167 S Washington St,Seattle,,WA,USA
Doll House Tavern,119 Yesler Way,Seattle,,WA,USA
Don's Place,610 2nd,Seattle,,WA,USA
Doubleheader Tavern,407 2nd Ave,Seattle,,WA,USA
Eleven-Eleven Tavern,1111 Pike St,Seattle,,WA,USA
Gatsby's,524 2nd,Seattle,,WA,USA
Golden Horseshoe,207 2nd Ave,Seattle,,WA,USA
GREEK TORCH,Third & Yesler Way,Seattle,,WA,USA
,Food,Seattle,,WA,USA
Grubstake Cafe,6084 2nd,Seattle,,WA,USA
Mike's Pike Street Tavern,824 Pike,Seattle,,WA,USA
Mocamba Rest & Lounge,203 Yesler Way,Seattle,,WA,USA
MOTHER MORGAN'S GUMBO FACTORY & LIVE-IN RESY-***AURANT,431 15th Ave E,Seattle,,WA,USA
,Mon/Fri lunch 11.30-2.30,Seattle,,WA,USA
,"""We are a vegetarian",Seattle,,WA,USA
,a,Seattle,,WA,USA
,NA,Seattle,,WA,USA
,Our restaurant is a melting pot 4,Seattle,,WA,USA
,old,Seattle,,WA,USA
,straight,Seattle,,WA,USA
922 Ciubs.,922 3rd Ave,Seattle,,WA,USA
107 Club,107 Occidental Ave S,Seattle,,WA,USA
Regents Roost,1404 7th,Seattle,,WA,USA
Silver Slipper,210 S Jackson St,Seattle,,WA,USA
611 Club,611 2nd Ave,Seattle,,WA,USA
614 Club,614 1st Ave,Seattle,,WA,USA
SPAG'S TAVERN,924 Pine St,Seattle,,WA,USA
,NA,Seattle,,WA,USA
Terrace Room,4th & Seneca,Seattle,,WA,USA
Thirteen Coins Rest.,125 Boren St,Seattle,,WA,USA
Trojan Shield,111-117 S Occidental,Seattle,,WA,USA
VICTROLA TAVERN,91 Lower Pike,Seattle,,WA,USA
,G&S (Victrola's answer to request 4,Seattle,,WA,USA
,NA,Seattle,,WA,USA
,NA,Seattle,,WA,USA
Wayne's Deli,217 James » 4,Seattle,,WA,USA
Zack's Key,2620 3rd Ave,Seattle,,WA,USA
,NA,Seattle,,WA,USA
METROPOLITAN COMMUNITY CHURCH,16th & E. John St,Seattle,,WA,USA
,NA,Seattle,,WA,USA
,NA,Seattle,,WA,USA
,NA,Seattle,,WA,USA
4 Counseling Services for Homosexuals,318 Malden Ave E,Seattle,,WA,USA
‘ Gay Community Center,102 Cherry St,Seattle,,WA,USA
,206-329-8180,Seattle,,WA,USA
,206-782-0381,Seattle,,WA,USA
ae Gay Men's Collective,1402 Harrison Ave,Seattle,,WA,USA
,,Seattle,,WA,USA
,Gay Student Assoc.,Seattle,,WA,USA
,NA,Seattle,,WA,USA
Gay Student House,1704 12th Ave,Seattle,,WA,USA
‘ Gay Women's Alliance & Resource Center,4224 University Ave NE,Seattle,,WA,USA
,NE 206-632-4747 Ex 3,Seattle,,WA,USA
- Seattle Counseling Service for Homosexuals 6&,1720 16th Ave,Seattle,,WA,USA
,,Seattle,206-329-Pe 8707,WA,USA
,Box 1170,Seattle,"98111 206-ae Call for details of program,",WA,USA
,NA,Seattle,NA,WA,USA
Stonewall,4127 Dayton Ave W,Seattle,w- 206-634-2798 a,WA,USA
WHITMAN HOUSE,4016 37th Ave S,Seattle,,WA,USA
,NA,Seattle,NA,WA,USA
,"""90-day re-entry for ex-offenders & probationers.Also",Seattle,NA,WA,USA
,they,Seattle,NA,WA,USA
,Group and,Seattle,NA,WA,USA
,"job development.""",Seattle,NA,WA,USA
,NA,Seattle,NA,WA,USA
,NA,Seattle,NA,WA,USA
Adult Book Store,1415 1st Ave.,Seattle,NA,WA,USA
,NA,Seattle,NA,WA,USA
Sultan's Cinema,1313 1st.,Seattle,NA,WA,USA
,NA,Seattle,NA,WA,USA
,NA,Seattle,NA,WA,USA
,NA,Seattle,NA,WA,USA
,ASTOUNDING TRANSVESTITE TALES (see EMPATHY)S$3,Seattle,NA,WA,USA
,Box 99002,Seattle,98199,WA,USA
,Box 12466,Seattle,98111 206-623-3505,WA,USA
,NA,Seattle,NA,WA,USA
,NA,Seattle,NA,WA,USA
,NA,Seattle,NA,WA,USA
,NA,Seattle,NA,WA,USA
